chapter	I10CODE	I10NAME	FinalI11Code	FinalI11Name	FinalPostcoor	FinalPostcoDesc	FinalMaptype
1	A41.51	Sepsis due to Escherichia coli [E. coli]	1G40	Sepsis without septic shock	NULL	NULL	3. only partial map possible
1	A41.9	Sepsis, unspecified organism	1G40	Sepsis without septic shock	NULL	NULL	1. full map by precoordination
1	B02.9	Zoster without complications	1E91.0	Zoster without complications	NULL	NULL	1. full map by precoordination
1	B18.2	Chronic viral hepatitis C	1E51.1	Chronic hepatitis C	NULL	NULL	1. full map by precoordination
1	B19.20	Unspecified viral hepatitis C without hepatic coma	1E5Z	Viral hepatitis, unspecified	NULL		3. only partial map possible
1	B20	Human immunodeficiency virus [HIV] disease	1C62.Z	Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified	NULL	NULL	1. full map by precoordination
1	B34.9	Viral infection, unspecified	1D9Z	Unspecified viral infection of unspecified site	NULL	NULL	1. full map by precoordination
1	B35.1	Tinea unguium	1F28.1	Dermatophytosis of nail	NULL		1. full map by precoordination
1	B35.3	Tinea pedis	1F28.2	Dermatophytosis of foot	NULL	NULL	1. full map by precoordination
1	B37.0	Candidal stomatitis	1F23.0	Candidosis of lips or oral mucous membranes	NULL	NULL	1. full map by precoordination
1	B37.2	Candidiasis of skin and nail	1F23.1Z	Candidosis of skin or mucous membranes, unspecified	1F23.1Z&XA6Q52	Candidosis of skin or mucous membranes, unspecified &  nail	3. only partial map possible
1	B37.3	Candidiasis of vulva and vagina	1F23.10	Vulvovaginal candidosis	NULL		1. full map by precoordination
1	B95.2	Enterococcus as the cause of diseases classified elsewhere	1C41	Bacterial infection of unspecified site	1C41&XN1F7	Bacterial infection of unspecified site & Enterococcus 	2. full map by postcoordination
1	B95.62	Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere	MG51.00	Methicillin resistant Staphylococcus aureus	NULL	NULL	1. full map by precoordination
1	B96.1	Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere	1C41	Bacterial infection of unspecified site	1C41&XN741	Bacterial infection of unspecified site & Klebsiella pneumoniae	2. full map by postcoordination
1	B96.20	Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere	1C41	Bacterial infection of unspecified site	1C41&XN6P4	Bacterial infection of unspecified site & Escherichia coli	2. full map by postcoordination
1	B96.5	Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere	1C41	Bacterial infection of unspecified site	1C41&XN022	Bacterial infection of unspecified site & Pseudomonas	2. full map by postcoordination
1	B96.89	Other specified bacterial agents as the cause of diseases classified elsewhere	1C4Y	Other specified bacterial diseases	NULL	NULL	3. only partial map possible
1	B97.89	Other viral agents as the cause of diseases classified elsewhere	1E1Y	Other specified viral diseases	NULL	NULL	3. only partial map possible
2	C18.2	Malignant neoplasm of ascending colon	2B90.0Z	Malignant neoplasm of ascending colon and right flexure of colon, unspecified	2B90.0Z&XA3AL5	Malignant neoplasm of ascending colon and right flexure of colon, unspecified & Ascending colon	2. full map by postcoordination
2	C18.7	Malignant neoplasm of sigmoid colon	2B90.3	Malignant neoplasm of sigmoid colon	NULL	NULL	1. full map by precoordination
2	C18.9	Malignant neoplasm of colon, unspecified	2B90.Z	Malignant neoplasms of colon, unspecified	NULL	NULL	1. full map by precoordination
2	C20	Malignant neoplasm of rectum	2B92.Z	Malignant neoplasms of rectum, unspecified	NULL	NULL	1. full map by precoordination
2	C22.0	Liver cell carcinoma	2C12.02	Hepatocellular carcinoma of liver	NULL		1. full map by precoordination
2	C25.0	Malignant neoplasm of head of pancreas	2C10.Z	Malignant neoplasm of pancreas, unspecified	2C10.Z&XA1412	Malignant neoplasm of pancreas, unspecified & Head of pancreas	2. full map by postcoordination
2	C25.9	Malignant neoplasm of pancreas, unspecified	2C10.Z	Malignant neoplasm of pancreas, unspecified	NULL	NULL	1. full map by precoordination
2	C34.11	Malignant neoplasm of upper lobe, right bronchus or lung	2C25.Z	Malignant neoplasms of bronchus or lung, unspecified	2C25.Z&XA8Z30	Malignant neoplasms of bronchus or lung, unspecified & Right upper lobe bronchus	2. full map by postcoordination
2	C34.12	Malignant neoplasm of upper lobe, left bronchus or lung	2C25.Z	Malignant neoplasms of bronchus or lung, unspecified	2C25.Z&XA2UD3	Malignant neoplasms of bronchus or lung, unspecified & Left lung	2. full map by postcoordination
2	C34.31	Malignant neoplasm of lower lobe, right bronchus or lung	2C25.Z	Malignant neoplasms of bronchus or lung, unspecified	2C25.Z&XA41Z3	Malignant neoplasms of bronchus or lung, unspecified & Right lower lobe bronchus	2. full map by postcoordination
2	C34.32	Malignant neoplasm of lower lobe, left bronchus or lung	2C25.Z	Malignant neoplasms of bronchus or lung, unspecified	2C25.Z&XA2UD3	Malignant neoplasms of bronchus or lung, unspecified & Left lung	2. full map by postcoordination
2	C34.90	Malignant neoplasm of unspecified part of unspecified bronchus or lung	2C25.Z	Malignant neoplasms of bronchus or lung, unspecified	NULL	NULL	1. full map by precoordination
2	C34.91	Malignant neoplasm of unspecified part of right bronchus or lung	2C25.Z	Malignant neoplasms of bronchus or lung, unspecified	2C25.Z&XA7EZ3	Malignant neoplasms of bronchus or lung, unspecified & Right lung	3. only partial map possible
2	C34.92	Malignant neoplasm of unspecified part of left bronchus or lung	2C25.Z	Malignant neoplasms of bronchus or lung, unspecified	2C25.Z&XA2UD3	Malignant neoplasms of bronchus or lung, unspecified & Left lung	3. only partial map possible
2	C43.9	Malignant melanoma of skin, unspecified	2C30.Z	Melanoma of skin, unspecified	2C30.Z&XH4846	Melanoma of skin, unspecified & Malignant melanoma, NOS	2. full map by postcoordination
2	C44.311	Basal cell carcinoma of skin of nose	2C32.Z	Basal cell carcinoma of skin, unspecified	2C32.Z&XA04T9	Basal cell carcinoma of skin, unspecified & Skin of nose	2. full map by postcoordination
2	C44.319	Basal cell carcinoma of skin of other parts of face	2C32.Z	Basal cell carcinoma of skin, unspecified	2C32.Z&XA86S4	Basal cell carcinoma of skin, unspecified & Face	3. only partial map possible
2	C50.411	Malignant neoplasm of upper-outer quadrant of right female breast	2C6Z	Malignant neoplasms of breast, unspecified	2C6Z&XK9K&XA2Q54	Malignant neoplasms of breast, unspecified & Right & Upper outer quadrant of breast	3. only partial map possible
2	C50.412	Malignant neoplasm of upper-outer quadrant of left female breast	2C6Z	Malignant neoplasms of breast, unspecified	2C6Z&XK8G&XA2Q54	Malignant neoplasms of breast, unspecified & Left & Upper outer quadrant of breast	3. only partial map possible
2	C50.911	Malignant neoplasm of unspecified site of right female breast	2C6Z	Malignant neoplasms of breast, unspecified	2C6Z&XK9K	Malignant neoplasms of breast, unspecified & Right	3. only partial map possible
2	C50.912	Malignant neoplasm of unspecified site of left female breast	2C6Z	Malignant neoplasms of breast, unspecified	2C6Z&XK8G	Malignant neoplasms of breast, unspecified & Left	3. only partial map possible
2	C50.919	Malignant neoplasm of unspecified site of unspecified female breast	2C6Z	Malignant neoplasms of breast, unspecified	NULL	NULL	3. only partial map possible
2	C54.1	Malignant neoplasm of endometrium	2C76.Z	Malignant neoplasms of corpus uteri, unspecified	2C76.Z&XA8QA8	Malignant neoplasms of corpus uteri, unspecified & Endometrium	2. full map by postcoordination
2	C56.9	Malignant neoplasm of unspecified ovary	2C73.0	Carcinomas of ovary	NULL		1. full map by precoordination
2	C61	Malignant neoplasm of prostate	2C82.Z	Malignant neoplasms of prostate, unspecified	NULL	NULL	1. full map by precoordination
2	C64.1	Malignant neoplasm of right kidney, except renal pelvis	2C90.Z	Malignant neoplasms of kidney, except renal pelvis, unspecified	2C90.Z&XK9K	Malignant neoplasms of kidney, except renal pelvis, unspecified & Right	2. full map by postcoordination
2	C64.2	Malignant neoplasm of left kidney, except renal pelvis	2C90.Z	Malignant neoplasms of kidney, except renal pelvis, unspecified	2C90.Z&XK8G	Malignant neoplasms of kidney, except renal pelvis, unspecified & Left	2. full map by postcoordination
2	C64.9	Malignant neoplasm of unspecified kidney, except renal pelvis	2C90.Z	Malignant neoplasms of kidney, except renal pelvis, unspecified	NULL	NULL	1. full map by precoordination
2	C67.9	Malignant neoplasm of bladder, unspecified	2C94.Z	Malignant neoplasms of bladder, unspecified	NULL	NULL	1. full map by precoordination
2	C73	Malignant neoplasm of thyroid gland	2D10.Z	Malignant neoplasms of thyroid gland, unspecified	NULL	NULL	1. full map by precoordination
2	C77.2	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes	2D60.2	Malignant neoplasm metastasis in intra-abdominal lymph nodes	NULL	NULL	1. full map by precoordination
2	C77.3	Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes	2D60.3	Malignant neoplasm metastasis in axillary lymph nodes	NULL	NULL	3. only partial map possible
2	C78.00	Secondary malignant neoplasm of unspecified lung	2D70	Malignant neoplasm metastasis in lung	NULL	NULL	1. full map by precoordination
2	C78.01	Secondary malignant neoplasm of right lung	2D70	Malignant neoplasm metastasis in lung	2D70&XK9K	Malignant neoplasm metastasis in lung & Right	2. full map by postcoordination
2	C78.02	Secondary malignant neoplasm of left lung	2D70	Malignant neoplasm metastasis in lung	2D70&XK8G	Malignant neoplasm metastasis in lung & Left	2. full map by postcoordination
2	C78.6	Secondary malignant neoplasm of retroperitoneum and peritoneum	2E2Z	Malignant neoplasm metastasis, unspecified	2E2Z&XA6S21&XA0KZ0	Malignant neoplasm metastasis, unspecified & Retroperitoneum & Peritoneum	2. full map by postcoordination
2	C78.7	Secondary malignant neoplasm of liver and intrahepatic bile duct	2D80.Z	Malignant neoplasm metastasis in liver or intrahepatic bile duct, unspecified	NULL	NULL	1. full map by precoordination
2	C79.31	Secondary malignant neoplasm of brain	2D50	Malignant neoplasm metastasis in brain	NULL	NULL	1. full map by precoordination
2	C79.51	Secondary malignant neoplasm of bone	2E03	Malignant neoplasm metastasis in bone or bone marrow	2E03&XA5GG8	Malignant neoplasm metastasis in bone or bone marrow & Bones	2. full map by postcoordination
2	C79.89	Secondary malignant neoplasm of other specified sites	2E0Y	Malignant neoplasm metastasis in other specified sites	NULL	NULL	3. only partial map possible
2	C79.9	Secondary malignant neoplasm of unspecified site	2E2Z	Malignant neoplasm metastasis, unspecified	NULL	NULL	1. full map by precoordination
2	C80.1	Malignant (primary) neoplasm, unspecified	2D4Z	Unspecified malignant neoplasms of ill-defined or unspecified sites	NULL	NULL	1. full map by precoordination
2	C83.30	Diffuse large B-cell lymphoma, unspecified site	2A81.Z	Diffuse large B-cell lymphoma, not otherwise specified	NULL	NULL	1. full map by precoordination
2	C85.90	Non-Hodgkin lymphoma, unspecified, unspecified site	2B33.5	Malignant lymphoma, not elsewhere classified	NULL	NULL	3. only partial map possible
2	C90.00	Multiple myeloma not having achieved remission	2A83.1	Plasma cell myeloma	NULL	NULL	1. full map by precoordination
2	C91.10	Chronic lymphocytic leukemia of B-cell type not having achieved remission	2A82.00	Chronic lymphocytic leukaemia of B-cell type	NULL	NULL	1. full map by precoordination
2	D05.11	Intraductal carcinoma in situ of right breast	2E65.2	Ductal carcinoma in situ of breast	2E65.2&XK9K	Ductal carcinoma in situ of breast & Right	2. full map by postcoordination
2	D05.12	Intraductal carcinoma in situ of left breast	2E65.2	Ductal carcinoma in situ of breast	2E65.2&XK8G	Ductal carcinoma in situ of breast & Left	2. full map by postcoordination
2	D12.0	Benign neoplasm of cecum	2E92.4Y	Other specified benign neoplasm of the large intestine	2E92.4Y&XA6J68	Other specified benign neoplasm of the large intestine & Caecum 	2. full map by postcoordination
2	D12.2	Benign neoplasm of ascending colon	2E92.4Y	Other specified benign neoplasm of the large intestine	2E92.4Y&XA3AL5	Other specified benign neoplasm of the large intestine & Ascending colon 	2. full map by postcoordination
2	D12.3	Benign neoplasm of transverse colon	2E92.4Y	Other specified benign neoplasm of the large intestine	2E92.4Y&XA49U1	Other specified benign neoplasm of the large intestine & Transverse colon	2. full map by postcoordination
2	D12.4	Benign neoplasm of descending colon	2E92.4Y	Other specified benign neoplasm of the large intestine	2E92.4Y&XA2G13	Other specified benign neoplasm of the large intestine & Descending colon	2. full map by postcoordination
2	D12.5	Benign neoplasm of sigmoid colon	2E92.4Y	Other specified benign neoplasm of the large intestine	2E92.4Y&XA8YJ9	Other specified benign neoplasm of the large intestine & Sigmoid colon	2. full map by postcoordination
2	D12.6	Benign neoplasm of colon, unspecified	2E92.4Y	Other specified benign neoplasm of the large intestine	NULL	NULL	3. only partial map possible
2	D12.8	Benign neoplasm of rectum	2E92.4Y	Other specified benign neoplasm of the large intestine	2E92.4Y&XA4KU2	Other specified benign neoplasm of the large intestine & Rectum	2. full map by postcoordination
2	D22.5	Melanocytic nevi of trunk	2F20.Z	Melanocytic naevus, unspecified	2F20.Z&XA3FR3	Melanocytic naevus, unspecified & Trunk	2. full map by postcoordination
2	D22.9	Melanocytic nevi, unspecified	2F20.Z	Melanocytic naevus, unspecified	NULL	NULL	1. full map by precoordination
2	D25.9	Leiomyoma of uterus, unspecified	2E86.0	Leiomyoma of uterus	NULL	NULL	1. full map by precoordination
2	D32.0	Benign neoplasm of cerebral meninges	2A01.2	Primary neoplasm of meninges of unknown or unspecified type	NULL	NULL	3. only partial map possible
2	D32.9	Benign neoplasm of meninges, unspecified	2A01.2	Primary neoplasm of meninges of unknown or unspecified type	NULL	NULL	3. only partial map possible
2	D45	Polycythemia vera	2A20.4	Polycythaemia vera	NULL	NULL	1. full map by precoordination
2	D46.9	Myelodysplastic syndrome, unspecified	2A3Z	Myelodysplastic syndromes, unspecified	NULL	NULL	1. full map by precoordination
2	D47.2	Monoclonal gammopathy	2A83.0	Monoclonal gammopathy of undetermined significance	NULL	NULL	1. full map by precoordination
2	D47.3	Essential (hemorrhagic) thrombocythemia	3B63.1Z	Acquired thrombocytosis, unspecified	NULL	NULL	3. only partial map possible
2	D48.5	Neoplasm of uncertain behavior of skin	2F72.Y	Other specified neoplasms of uncertain behaviour of skin	NULL	NULL	3. only partial map possible
2	D49.2	Neoplasm of unspecified behavior of bone, soft tissue, and skin	2F92	Neoplasms of unknown behaviour of skin	NULL		3. only partial map possible
3	D50.9	Iron deficiency anemia, unspecified	3A00.Z	Iron deficiency anaemia, unspecified	NULL	NULL	1. full map by precoordination
3	D62	Acute posthemorrhagic anemia	3A00.00	Acute posthaemorrhagic anaemia	NULL	NULL	1. full map by precoordination
3	D63.1	Anemia in chronic kidney disease	3A71.2	Anaemia in chronic kidney disease	NULL	NULL	1. full map by precoordination
3	D64.9	Anemia, unspecified	3A9Z	Anaemias or other erythrocyte disorders, unspecified	NULL	NULL	1. full map by precoordination
3	D69.6	Thrombocytopenia, unspecified	3B64.Z	Thrombocytopenia, unspecified	NULL	NULL	1. full map by precoordination
4	E03.9	Hypothyroidism, unspecified	5A00.Z	Hypothyroidism, unspecified	NULL	NULL	1. full map by precoordination
4	E11.22	Type 2 diabetes mellitus with diabetic chronic kidney disease	5A11	Type 2 diabetes mellitus	5A11/GB61.Z	Type 2 diabetes mellitus / Chronic kidney disease, stage unspecified	2. full map by postcoordination
4	E11.9	Type 2 diabetes mellitus without complications	5A11	Type 2 diabetes mellitus	NULL	NULL	1. full map by precoordination
4	E66.9	Obesity, unspecified	5B81.Z	Obesity, unspecified	NULL	NULL	1. full map by precoordination
4	E78.00	Pure hypercholesterolemia, unspecified	5C80.00	Primary hypercholesterolaemia	NULL		3. only partial map possible
4	E78.2	Mixed hyperlipidemia	5C80.2	Mixed hyperlipidaemia	NULL	NULL	1. full map by precoordination
4	E78.5	Hyperlipidemia, unspecified	5C80.Z	Hyperlipoproteinaemia, unspecified	NULL		1. full map by precoordination
4	E86.0	Dehydration	5C70.0	Dehydration	NULL	NULL	1. full map by precoordination
4	E87.1	Hypo-osmolality and hyponatremia	5C72	Hypo-osmolality or hyponatraemia	NULL	NULL	1. full map by precoordination
