icd9cm;icd9_title;icd10cm;Maptype
5723;Portal hypertension;K766;general equivalence mapping(medicare)
78959;Other ascites;R188;general equivalence mapping(medicare)
5715;Cirrhosis of liver without mention of alcohol;K740;general equivalence mapping(medicare)
5715;Cirrhosis of liver without mention of alcohol;K7460;general equivalence mapping(medicare)
5715;Cirrhosis of liver without mention of alcohol;K7469;general equivalence mapping(medicare)
07070;Unspecified viral hepatitis C without hepatic coma;B1920;general equivalence mapping(medicare)
496;Chronic airway obstruction, not elsewhere classified;J449;general equivalence mapping(medicare)
29680;Bipolar disorder, unspecified;F319;general equivalence mapping(medicare)
30981;Posttraumatic stress disorder;F4310;general equivalence mapping(medicare)
30981;Posttraumatic stress disorder;F4312;general equivalence mapping(medicare)
V1582;Personal history of tobacco use;Z87891;general equivalence mapping(medicare)
07071;Unspecified viral hepatitis C with hepatic coma;B1921;general equivalence mapping(medicare)
2875;Thrombocytopenia, unspecified;D696;general equivalence mapping(medicare)
2761;Hyposmolality and/or hyponatremia;E871;general equivalence mapping(medicare)
V08;Asymptomatic human immunodeficiency virus [HIV] infection status;Z21;general equivalence mapping(medicare)
3051;Tobacco use disorder;F17200;general equivalence mapping(medicare)
07054;Chronic hepatitis C without mention of hepatic coma;B182;general equivalence mapping(medicare)
V462;Other dependence on machines, supplemental oxygen;Z9981;general equivalence mapping(medicare)
V462;Person on outside of car injured in collision with other nonmotor vehicle in nontraffic accident;Z9981;general equivalence mapping(medicare)
2767;Hyperpotassemia;E875;general equivalence mapping(medicare)
78791;Diarrhea;K522;general equivalence mapping(medicare)
78791;Diarrhea;K5289;general equivalence mapping(medicare)
78791;Diarrhea;R197;general equivalence mapping(medicare)
45829;Other iatrogenic hypotension;I952;general equivalence mapping(medicare)
45829;Other iatrogenic hypotension;I9581;general equivalence mapping(medicare)
07044;Chronic hepatitis C with hepatic coma;B182;general equivalence mapping(medicare)
7994;Cachexia;R64;general equivalence mapping(medicare)
V4986;Do not resuscitate status;Z66;general equivalence mapping(medicare)
30500;Alcohol abuse, unspecified;F1010;general equivalence mapping(medicare)
5283;Cellulitis and abscess of oral soft tissues;K122;general equivalence mapping(medicare)
52109;Other dental caries;K029;general equivalence mapping(medicare)
9222;Contusion of abdominal wall;S301XXA;general equivalence mapping(medicare)
920;Contusion of face, scalp, and neck except eye(s);S0093XA;general equivalence mapping(medicare)
920;Contusion of face, scalp, and neck except eye(s);S1093XA;general equivalence mapping(medicare)
E8854;Fall from snowboard;V00312A;general equivalence mapping(medicare)
E8495;Street and highway accidents;Y92410;general equivalence mapping(medicare)
2860;Congenital factor VIII disorder;D66;general equivalence mapping(medicare)
2859;Anemia, unspecified;D649;general equivalence mapping(medicare)
6820;Cellulitis and abscess of face;K122;general equivalence mapping(medicare)
6820;Cellulitis and abscess of face;L03211;general equivalence mapping(medicare)
6820;Cellulitis and abscess of face;L03212;general equivalence mapping(medicare)
1890;Malignant neoplasm of kidney, except pelvis;C649;general equivalence mapping(medicare)
V1201;Personal history of tuberculosis;Z8611;general equivalence mapping(medicare)
42789;Other specified cardiac dysrhythmias;I498;general equivalence mapping(medicare)
42789;Other specified cardiac dysrhythmias;R001;general equivalence mapping(medicare)
25000;Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled;E119;general equivalence mapping(medicare)
4019;Unspecified essential hypertension;I10;general equivalence mapping(medicare)
66401;First-degree perineal laceration, delivered, with or without mention of antepartum condition;O700;general equivalence mapping(medicare)
65951;Elderly primigravida, delivered, with or without mention of antepartum condition;O09511;general equivalence mapping(medicare)
